Ticker,2023 Debt,2023 Equity,2023 Revenue,2023 Operating Cash Flow,2023 Capital Expenditure,2023 Current Assets,2023 Current Liabilities,2023 Current Income,2022 Debt,2022 Equity,2022 Revenue,2022 Operating Cash Flow,2022 Capital Expenditure,2022 Current Assets,2022 Current Liabilities,2022 Current Income,2021 Debt,2021 Equity,2021 Revenue,2021 Operating Cash Flow,2021 Capital Expenditure,2021 Current Assets,2021 Current Liabilities,2021 Current Income,2024 Debt,2024 Equity,2024 Revenue,2024 Operating Cash Flow,2024 Capital Expenditure,2024 Current Assets,2024 Current Liabilities,2024 Current Income
BRK.A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,52603000000.0,-17233000000.0,77794000000.0,5960000000.0,-1527000000.0,109275000000.0,95827000000.0,-821000000.0,57277000000.0,-15883000000.0,66608000000.0,3512000000.0,-1222000000.0,109523000000.0,90052000000.0,-3509000000.0,58370000000.0,-14999000000.0,62286000000.0,-3416000000.0,-980000000.0,108666000000.0,81992000000.0,-3357000000.0,,,,,,,,
BMY,41464000000.0,29430000000.0,45006000000.0,13860000000.0,-1209000000.0,31770000000.0,22262000000.0,8195000000.0,40717000000.0,31061000000.0,46159000000.0,13066000000.0,-1118000000.0,27273000000.0,21890000000.0,9104000000.0,45596000000.0,35946000000.0,46385000000.0,16207000000.0,-973000000.0,33262000000.0,21868000000.0,8537000000.0,,,,,,,,
AVGO,39229000000.0,23988000000.0,35819000000.0,18085000000.0,-452000000.0,20847000000.0,7405000000.0,16451000000.0,39515000000.0,22709000000.0,33203000000.0,16736000000.0,-424000000.0,18504000000.0,7052000000.0,14282000000.0,,,,,,,,,67566000000.0,67678000000.0,51574000000.0,19962000000.0,-548000000.0,19595000000.0,16697000000.0,14996000000.0
COF,49318000000.0,58089000000.0,36787000000.0,20575000000.0,-961000000.0,,,,47832000000.0,52582000000.0,34250000000.0,13809000000.0,-934000000.0,,,,42266000000.0,61029000000.0,30435000000.0,12310000000.0,-698000000.0,,,,,,,,,,,
CAH,4701000000.0,-2958000000.0,204979000000.0,2844000000.0,-481000000.0,33737000000.0,33740000000.0,1789000000.0,5315000000.0,-709000000.0,181326000000.0,3175000000.0,-387000000.0,32935000000.0,30550000000.0,1648000000.0,,,,,,,,,5092000000.0,-3213000000.0,226827000000.0,3762000000.0,-511000000.0,34884000000.0,35640000000.0,2130000000.0
COR,4787457000.0,522003000.0,262173411000.0,3911334000.0,-458359000.0,42798826000.0,48831198000.0,2685605000.0,5702833000.0,-211559000.0,238587006000.0,2703088000.0,-496318000.0,39589758000.0,43477955000.0,2753510000.0,,,,,,,,,4388076000.0,645938000.0,293958599000.0,3484685000.0,-487173000.0,47717813000.0,54277053000.0,3156949000.0
CHTR,98202000000.0,11086000000.0,54607000000.0,14433000000.0,-10943000000.0,4132000000.0,13214000000.0,12506000000.0,97603000000.0,9119000000.0,54022000000.0,14925000000.0,-8823000000.0,4017000000.0,12065000000.0,12243000000.0,,,,,,,,,95763000000.0,15587000000.0,55085000000.0,14430000000.0,-10173000000.0,4233000000.0,13486000000.0,13245000000.0
CSCO,8391000000.0,44353000000.0,56998000000.0,19886000000.0,-849000000.0,43348000000.0,31309000000.0,15562000000.0,9515000000.0,39773000000.0,51557000000.0,13226000000.0,-477000000.0,36717000000.0,25640000000.0,13975000000.0,,,,,,,,,30962000000.0,45457000000.0,53803000000.0,10880000000.0,-670000000.0,36862000000.0,40584000000.0,12970000000.0
C,324076000000.0,205453000000.0,78486000000.0,-73416000000.0,-6583000000.0,,,,318702000000.0,201189000000.0,75305000000.0,25069000000.0,-5632000000.0,,,,282347000000.0,201972000000.0,71887000000.0,47090000000.0,-4119000000.0,,,,,,,,,,,
